TransactionID,CustomerID,TransactionDate,Year,ProductCategory,ProductID,ProductName,Price,Quantity,TotalAmount,Discount,FinalAmount,StoreID,StoreLocation,SalespersonID,SalespersonName,CustomerAge,CustomerGender,CustomerRegion,PaymentMethod
bdd640fb-0667-4ad1-9c80-317fa3b1799d,9c291269-e781-44cc-9058-e121f2aff86f,23-09-2024,2020,Furniture,P7179,view,479.07,9,4311.63,0.36,2759.4432,S50,East Elizabeth,SP10,Wendy Rosario,42,Male,South,Online Payment
23b8c1e9-3924-46de-beb1-3b9046685257,ceb7803e-c3fc-4c0e-95c2-c94db3fdc2b8,13-12-2022,2020,Clothing,P4640,clearly,300.81,9,2707.29,0.19,2192.9049,S62,Port Jody,SP18,Gary Walker,26,Other,West,Cash
bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,121d87ac-fb26-4d27-9889-55c0090d7d2f,08-02-2023,2022,Electronics,P7203,as,64.58,10,645.8,0.31,445.6019999999999,S34,Nicholschester,SP12,Andrea Holland,38,Female,West,Credit Card
972a8469-1641-4f82-8b9d-2434e465e150,bd4211d1-9920-43eb-aa8e-b758f32d2812,02-01-2024,2021,Clothing,P2720,determine,368.04,5,1840.2,0.14,1582.5720000000001,S73,East Gloria,SP13,Patricia Jones,33,Male,East,Credit Card
17fc695a-07a0-4a6e-8822-e8f36c031199,e3346bd8-14a1-464b-adea-c5b89cc862cd,03-06-2022,2021,Home Decor,P3023,from,369.07,2,738.14,0.23,568.3678,S5,Kellyfurt,SP22,Margaret Roth,61,Male,East,Debit Card
9a1de644-815e-46d1-bb8f-aa1837f8a88b,21249735-f254-4c17-ba90-c4868d2a3484,11-06-2022,2021,Toys,P3879,decade,101.5,4,406,0.42,235.48000000000002,S56,Lake Kimberly,SP10,James Brown,52,Female,East,Cash
b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,1aa3c18e-0aaf-4962-b92c-23e3454009f2,23-01-2022,2020,Books,P9625,bad,400.43,3,1201.29,0.15,1021.0965,S49,Blevinstown,SP22,Nicole Villarreal,23,Male,South,Credit Card
6b65a6a4-8b81-48f6-b38a-088ca65ed389,39a9a8a9-81f2-4a73-bf20-f661091d1643,27-08-2021,2020,Furniture,P6022,large,144.82,2,289.64,0.26,214.3336,S68,Lake Joseph,SP48,Mark Thomas,35,Other,South,Online Payment
47378190-96da-4dac-b2ff-5d2a386ecbe0,7a438217-6e77-4dd3-99aa-7cd5a67c7bd7,01-11-2022,2023,Books,P9021,ask,396.4,1,396.4,0.05,376.58,S66,Lake Adamstad,SP25,Rebecca Hartman,18,Male,South,Online Payment
c241330b-01a9-471f-9e8a-774bcf36d58b,e05f039c-d98e-4024-8813-20254dacd33c,06-08-2024,2020,Books,P2565,safe,214.38,10,2143.8,0.49,1093.3380000000002,S93,East Ebony,SP3,Joseph Parker,33,Other,East,Cash
6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,ee662c46-057d-4e28-ba4e-2920f8b1f902,22-04-2021,2020,Home Decor,P9666,mean,410.2,8,3281.6,0.1,2953.44,S54,Travisberg,SP1,Kristine Barron,21,Male,East,Online Payment
371ecd7b-27cd-4130-8722-9389571aa876,c82585fa-c60b-446e-86bf-1fb70e2bd8c9,23-06-2023,2020,Furniture,P6716,others,10.4,3,31.200000000000003,0,31.200000000000003,S58,Williamsborough,SP34,Meagan Campos,59,Male,West,Online Payment
1a2a73ed-562b-4f79-8374-59eef50bea63,9baefd9e-88c0-4786-b238-7a5acfb57f2e,23-12-2023,2021,Books,P5620,remain,134.19,1,134.19,0.2,107.352,S48,East Anthony,SP21,Amy Smith,49,Female,West,Debit Card
5be6128e-18c2-4797-a142-ea7d17be3111,af001605-ae93-4319-a11f-98efdc3c423a,25-08-2024,2021,Electronics,P5440,big,76.31,3,228.93,0.42,132.7794,S9,Durhamview,SP48,Calvin Nguyen,38,Male,West,Online Payment
43b7a3a6-9a8d-4a03-980d-7b71d8f56413,7b6fb65b-8d70-400f-84a1-dd66bce88f22,04-02-2021,2020,Clothing,P2623,mention,17.52,2,35.04,0.11,31.1856,S72,Christinaberg,SP34,Marissa Baxter,38,Female,East,Online Payment
759cde66-bacf-43d0-8b1f-9163ce9ff57f,60920068-c403-4430-a31a-9c3c0d591303,02-01-2022,2021,Toys,P1785,third,327.56,8,2620.48,0.48,1362.6496,S44,Lindaside,SP40,Cheryl Mendez,56,Female,North,Debit Card
ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,b38adf82-6e02-4a88-a00f-8ed9b2086418,07-07-2024,2023,Clothing,P3797,wrong,382.37,1,382.37,0.46,206.4798,S98,Crosbyberg,SP20,Steven Eaton,66,Female,East,Debit Card
4b0dbb41-8d52-48f1-942c-3fe860e7a113,1d96dc53-2344-4c54-8cae-f9ec6d44f723,20-04-2024,2021,Toys,P6210,without,43.96,8,351.68,0.04,337.6128,S63,Christophermouth,SP39,Janet George,51,Female,West,Online Payment
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,9d9b72b9-e5ab-486c-9e34-c29a701dadb0,22-03-2023,2023,Electronics,P7382,perhaps,235.15,6,1410.9,0.05,1340.355,S13,Lake Lisa,SP25,Justin Schultz,36,Male,West,Credit Card
3139d32c-93cd-49bf-9c94-1cf0dc98d2c1,5a0ed9b7-5e22-47d4-a74f-232bfb876271,31-01-2022,2022,Clothing,P3960,black,455.35,5,2276.75,0.41,1343.2825000000003,S11,Ericahaven,SP5,Melinda Fletcher,22,Female,South,Credit Card
